Acronymn,Guideline,Guideline_Year,Guideline_Volume,Issue,Chapter,Chapter_Title,Recommendation,Recommendation_Number,DMTO_Rule_No,Grade,Evidence_Sentence,Citation,Authors,Title,Publisher,Article_Year,Pages,Article_Volume
ADA,American Diabetes Association standards of Medical Care in Diabetes,2018,42,1,8,Pharmacologic Approaches to Glycemic Treatment,"Metformin, if not contraindicated and if tolerated, is the preferred initial pharmacologic agent for the treatment of type 2 diabetes.",1,1,A,"The use of metformin as first-line therapy was supported by findings from a large meta-analysis, with selection of second-line therapies based on patient-specific considerations",30,"Palmer SC,Mavridis D, Nicolucci A, et al",Comparison of clinical outcomes and adverse events associated with glucose-lowering drugs in patients with type 2 diabetes: a meta-analysis,JAMA,2016,140–149,316
ADA,American Diabetes Association standards of Medical Care in Diabetes,2018,42,1,8,Pharmacologic Approaches to Glycemic Treatment,"In patients without atherosclerotic cardiovascular disease, if monotherapy or dual therapy does not achieve or maintain the A1C goal over 3 months, add an additional antihyperglycemic agent based on drug-specific and patient factors. (Table 8.1)",5,2,A,"If the A1C target is not achieved after approximately 3 months and patient does not have atherosclerotic cardiovascular disease (ASCVD), consider a combination of metformin and any one of the preferred six treatment options: sulfonylurea, thiazolidinedione, DPP-4 inhibitor, SGLT2 inhibitor, GLP-1 receptor agonist, or basal insulin (Fig. 8.1); the choice of which agent to add is based on drugspecific effects and patient factors (Table 8.1)",,,,,,,
ADA,American Diabetes Association standards of Medical Care in Diabetes,2018,42,1,8,Pharmacologic Approaches to Glycemic Treatment,"In patients without atherosclerotic cardiovascular disease, if monotherapy or dual therapy does not achieve or maintain the A1C goal over 3 months, add an additional antihyperglycemic agent based on drug-specific and patient factors. (Table 8.1)",5,3,A,"If the A1C target is not achieved after approximately 3 months and patient does not have atherosclerotic cardiovascular disease (ASCVD), consider a combination of metformin and any one of the preferred six treatment options: sulfonylurea, thiazolidinedione, DPP-4 inhibitor, SGLT2 inhibitor, GLP-1 receptor agonist, or basal insulin (Fig. 8.1); the choice of which agent to add is based on drugspecific effects and patient factors (Table 8.1)",,,,,,,
ADA,American Diabetes Association standards of Medical Care in Diabetes,2018,42,1,8,Pharmacologic Approaches to Glycemic Treatment,"In patients with type 2 diabetes and established atherosclerotic cardiovascular disease, antihyperglycemic therapy should begin with lifestyle management and metformin and subsequently incorporate an agent proven to reduce major adverse ardiovascular events and cardiovascular mortality (currently empagliflozin and liraglutide), after considering drug-specific and patient factors (Table 8.1)",7,2,A*,"For patients with ASCVD, add a second agent with evidence of cardiovascular risk reduction after consideration of drug-specific and patient factors",,,,,,,
ADA,American Diabetes Association standards of Medical Care in Diabetes,2018,42,1,8,Pharmacologic Approaches to Glycemic Treatment,"In patients with type 2 diabetes and established atherosclerotic cardiovascular disease, antihyperglycemic therapy should begin with lifestyle management and metformin and subsequently incorporate an agent proven to reduce major adverse ardiovascular events and cardiovascular mortality (currently empagliflozin and liraglutide), after considering drug-specific and patient factors (Table 8.1)",7,3,A*,"For patients with ASCVD, add a second agent with evidence of cardiovascular risk reduction after consideration of drug-specific and patient factors",,,,,,,
ADA,American Diabetes Association standards of Medical Care in Diabetes,2018,42,1,8,Pharmacologic Approaches to Glycemic Treatment,"In patients with type 2 diabetes and established atherosclerotic cardiovascular disease, after lifestyle management and metformin, the antihyperglycemic agent canagliflozin may be considered to reduce major adverse cardiovascular events, based on drug-specific and patient factors (Table 8.1).",8,2,C*,"For patients with ASCVD, add a second agent with evidence of cardiovascular risk reduction after consideration of drug-specific and patient factors",,,,,,,
ADA,American Diabetes Association standards of Medical Care in Diabetes,2018,42,1,8,Pharmacologic Approaches to Glycemic Treatment,"In patients with type 2 diabetes and established atherosclerotic cardiovascular disease, after lifestyle management and metformin, the antihyperglycemic agent canagliflozin may be considered to reduce major adverse cardiovascular events, based on drug-specific and patient factors (Table 8.1).",8,3,C*,"For patients with ASCVD, add a second agent with evidence of cardiovascular risk reduction after consideration of drug-specific and patient factors",,,,,,,
ADA,American Diabetes Association standards of Medical Care in Diabetes,2018,42,1,8,Pharmacologic Approaches to Glycemic Treatment,"For patients with type 2 diabetes who are not achieving glycemic goals, drug intensification, including consideration of insulin therapy, should not be delayed",10,4,B,"If A1C target is still not achieved after; 3 months of dual therapy, proceed to a three-drug combination (Fig. 8.1). Again, if A1C target is not achieved after ;3 months of triple therapy, proceed to combination injectable therapy (Fig. 8.2). Drug choice is based on patient preferences (37), as well as various patient, disease, and drug characteristics, with the goal of reducing blood glucose levels while minimizing side effects, especially hypoglycemia.",37,"Vijan S, Sussman JB, Yudkin JS, Hayward RA",Effect of patients’ risks and preferences on health gains with plasma glucose level lowering in type 2 diabetes mellitus,JAMA Intern Med,2014,602–613,154
ADA,American Diabetes Association standards of Medical Care in Diabetes,2018,42,1,8,Pharmacologic Approaches to Glycemic Treatment,"Metformin, if not contraindicated and if tolerated, is the preferred initial pharmacologic agent for the treatment of type 2 diabetes.",1,5,A,"The use of metformin as first-line therapy was supported by findings from a large meta-analysis, with selection of second-line therapies based on patient-specific considerations",30,"Palmer SC,Mavridis D, Nicolucci A, et al",Comparison of clinical outcomes and adverse events associated with glucose-lowering drugs in patients with type 2 diabetes: a meta-analysis,JAMA,2016,140–149,316
ADA,American Diabetes Association standards of Medical Care in Diabetes,2018,42,1,8,Pharmacologic Approaches to Glycemic Treatment,"Metformin, if not contraindicated and if tolerated, is the preferred initial pharmacologic agent for the treatment of type 2 diabetes.",1,6,A,"The use of metformin as first-line therapy was supported by findings from a large meta-analysis, with selection of second-line therapies based on patient-specific considerations",30,"Palmer SC,Mavridis D, Nicolucci A, et al",Comparison of clinical outcomes and adverse events associated with glucose-lowering drugs in patients with type 2 diabetes: a meta-analysis,JAMA,2016,140–149,316
